City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kaz,52.9113,87.3105,-11.11,94,100,3.69,RU,1674531230
1,faanui,-16.4833,-151.75,25.73,78,100,8.22,PF,1674531230
2,hargeysa,9.56,44.065,12.1,94,95,4.96,SO,1674531230
3,athni,16.7333,75.0667,21.37,70,3,5.5,IN,1674530967
4,izhma,65.0083,53.9113,-9.87,92,21,4.14,RU,1674531231
5,bluff,-46.6,168.3333,13.72,59,15,5.83,NZ,1674531231
6,eyl,7.9803,49.8164,22.86,71,26,7.09,SO,1674531231
7,general roca,-39.0333,-67.5833,27.01,27,0,8.0,AR,1674531232
8,la rioja,42.25,-2.5,-1.12,97,100,3.14,ES,1674531232
9,arraial do cabo,-22.9661,-42.0278,23.61,93,100,3.24,BR,1674531232
10,vaini,-21.2,-175.2,30.09,79,20,3.6,TO,1674531233
11,saint george,37.1041,-113.5841,3.33,49,0,2.57,US,1674531233
12,ushuaia,-54.8,-68.3,8.81,87,40,2.57,AR,1674530980
13,san cristobal,7.7669,-72.225,23.1,80,83,1.37,VE,1674531234
14,neryungri,56.6709,124.6491,-28.11,90,100,5.4,RU,1674531234
15,coihaique,-45.5752,-72.0662,10.34,57,0,1.03,CL,1674531234
16,punta arenas,-53.15,-70.9167,10.06,57,0,7.72,CL,1674531235
17,hilo,19.7297,-155.09,25.16,82,100,3.6,US,1674530953
18,tilichiki,60.4667,166.1,-16.58,94,100,5.92,RU,1674531235
19,cidreira,-30.1811,-50.2056,23.98,83,0,5.0,BR,1674531235
20,airai,-8.9266,125.4092,21.33,69,100,1.37,TL,1674531236
21,college,64.8569,-147.8028,-21.03,75,100,0.0,US,1674531237
22,broken hill,-31.95,141.4333,35.55,13,15,7.99,AU,1674531237
23,hermanus,-34.4187,19.2345,18.03,80,1,6.71,ZA,1674531237
24,new norfolk,-42.7826,147.0587,24.72,37,28,1.34,AU,1674531237
25,jining,35.405,116.5814,-6.48,10,0,5.38,CN,1674531237
26,kpandu,6.9954,0.2931,25.2,79,54,1.61,GH,1674531238
27,isugod,9.3408,118.1196,25.57,86,100,5.85,PH,1674531238
28,butaritari,3.0707,172.7902,27.12,79,60,7.77,KI,1674531238
29,black forest,39.0131,-104.7008,-6.48,89,100,4.02,US,1674531238
30,gazalkent,41.5581,69.7708,-7.18,70,0,3.08,UZ,1674531239
31,bilibino,68.0546,166.4372,-23.3,81,100,1.89,RU,1674531239
32,victoria,22.2855,114.1577,16.09,49,98,11.18,HK,1674531003
33,puerto leguizamo,-0.1934,-74.7819,21.88,97,100,0.43,CO,1674531240
34,severodvinsk,64.5635,39.8302,-6.94,87,20,4.58,RU,1674531240
35,yellowknife,62.456,-114.3525,-13.71,85,75,4.63,CA,1674531241
36,rikitea,-23.1203,-134.9692,26.2,74,0,6.86,PF,1674531241
37,port alfred,-33.5906,26.891,22.32,87,64,2.68,ZA,1674531241
38,edson,53.5835,-116.4356,2.08,51,0,3.09,CA,1674531241
39,saint-philippe,-21.3585,55.7679,22.77,81,100,3.83,RE,1674531241
40,ingham,42.6,-84.3833,-2.03,86,0,4.12,US,1674531242
41,saldanha,-33.0117,17.9442,16.03,90,1,3.96,ZA,1674531242
42,busselton,-33.65,115.3333,29.74,40,16,5.43,AU,1674531242
43,kavaratti,10.5669,72.642,26.5,74,62,7.51,IN,1674531243
44,turukhansk,65.8167,87.9833,-31.63,90,39,3.1,RU,1674531243
45,rudbar,30.15,62.6,0.95,54,0,2.92,AF,1674531245
46,jamestown,42.097,-79.2353,-0.8,67,100,9.77,US,1674531245
47,mar del plata,-38.0023,-57.5575,20.05,76,0,7.15,AR,1674531245
48,hobart,-42.8794,147.3294,24.92,47,20,7.2,AU,1674531178
49,vao,-22.6667,167.4833,25.67,83,89,1.86,NC,1674531246
50,castro,-24.7911,-50.0119,16.45,95,67,1.38,BR,1674531246
51,srednekolymsk,67.45,153.6833,-30.36,94,100,1.52,RU,1674531246
52,iqaluit,63.7506,-68.5145,-24.06,83,100,1.03,CA,1674531246
53,beringovskiy,63.05,179.3167,-23.59,97,100,6.04,RU,1674531247
54,perry,37.2506,-83.1999,1.4,93,9,1.99,US,1674531247
55,marsa matruh,31.3525,27.2453,17.11,63,0,4.12,EG,1674531247
56,thompson,55.7435,-97.8558,-29.91,76,0,1.54,CA,1674531248
57,sao gabriel da cachoeira,-0.1303,-67.0892,21.95,99,100,0.63,BR,1674531248
58,uyemskiy,64.4743,40.8524,-6.97,93,75,3.0,RU,1674531248
59,christchurch,-43.5333,172.6333,17.11,63,100,6.17,NZ,1674531006
60,waipawa,-41.4122,175.5153,15.24,66,70,3.57,NZ,1674531249
61,mapiri,-15.25,-68.1667,21.14,98,100,0.4,BO,1674531249
62,bukachacha,52.9833,116.9167,-24.42,71,8,1.12,RU,1674531250
63,hithadhoo,-0.6,73.0833,26.84,77,56,5.83,MV,1674531250
64,albany,42.6001,-73.9662,-0.76,83,75,0.89,US,1674531250
65,pontianak,-0.0333,109.3333,27.99,83,40,2.06,ID,1674531032
66,bambous virieux,-20.3428,57.7575,24.01,94,75,1.54,MU,1674531251
67,urubicha,-15.3833,-62.95,23.66,86,68,1.45,BO,1674531251
68,chuy,-33.6971,-53.4616,17.0,73,0,0.3,UY,1674531252
69,ilulissat,69.2167,-51.1,-5.99,58,75,8.23,GL,1674531252
70,ambatolampy,-19.3833,47.4167,15.38,98,100,2.9,MG,1674531252
71,xining,36.6167,101.7667,-8.36,16,5,0.87,CN,1674531124
72,saskylakh,71.9167,114.0833,-22.35,83,100,1.45,RU,1674531253
73,robertsport,6.7533,-11.3686,25.57,86,90,3.71,LR,1674531253
74,muli,2.9167,73.5667,26.79,71,100,2.21,MV,1674531253
75,half moon bay,37.4636,-122.4286,13.51,51,0,3.09,US,1674531254
76,ponta delgada,37.7333,-25.6667,15.4,67,75,7.2,PT,1674531254
77,bathsheba,13.2167,-59.5167,25.34,83,40,8.23,BB,1674531254
78,rundu,-17.9333,19.7667,17.69,89,32,2.18,NA,1674531254
79,caxito,-8.5785,13.6643,23.09,94,100,1.33,AO,1674531255
80,bayan,46.0833,127.4,-24.58,77,45,4.92,CN,1674531255
81,souillac,-20.5167,57.5167,23.21,94,75,1.54,MU,1674531255
82,mayo,38.8876,-76.5119,5.09,65,100,5.14,US,1674531256
83,ambilobe,-13.2,49.05,23.64,92,100,0.5,MG,1674531256
84,tigzirt,36.8886,4.1198,5.92,91,99,2.26,DZ,1674531256
85,cururupu,-1.8283,-44.8683,22.48,98,89,1.22,BR,1674531256
86,ponta do sol,32.6667,-17.1,16.35,64,12,2.81,PT,1674531257
87,kijang,35.2442,129.2139,-5.15,42,2,11.53,KR,1674531257
88,honningsvag,70.9821,25.9704,0.86,86,75,17.49,NO,1674531257
89,clyde river,70.4692,-68.5914,-35.87,68,40,5.66,CA,1674531141
90,tabas,33.5959,56.9244,2.65,41,0,2.39,IR,1674531258
91,bethel,41.3712,-73.414,1.53,78,100,4.12,US,1674531258
92,arlit,18.7369,7.3853,20.33,14,6,4.01,NE,1674531258
93,mouila,-1.8685,11.0559,22.78,97,72,0.35,GA,1674531259
94,olga,43.7444,135.2892,-22.64,62,7,7.9,RU,1674531259
95,inongo,-1.95,18.2667,22.86,89,100,3.08,CD,1674531259
96,avarua,-21.2078,-159.775,28.03,69,75,0.51,CK,1674531259
97,atuona,-9.8,-139.0333,26.19,78,8,8.22,PF,1674531260
98,samarai,-10.6167,150.6667,29.21,71,100,5.51,PG,1674531260
99,mataura,-46.1927,168.8643,20.15,38,9,2.81,NZ,1674531260
100,morvi,22.8167,70.8333,17.34,47,3,5.14,IN,1674531261
101,leningradskiy,69.3833,178.4167,-31.82,93,7,3.97,RU,1674531261
102,barrow,71.2906,-156.7887,-21.99,84,100,8.75,US,1674531262
103,sinnamary,5.3833,-52.95,24.17,83,7,5.52,GF,1674531262
104,te anau,-45.4167,167.7167,21.16,37,6,1.3,NZ,1674531262
105,dikson,73.5069,80.5464,-22.56,85,100,16.3,RU,1674531262
106,bredasdorp,-34.5322,20.0403,16.46,74,0,3.74,ZA,1674531263
107,nioro,13.35,-15.75,19.21,68,60,2.27,GM,1674531263
108,westport,41.1415,-73.3579,2.53,75,100,5.14,US,1674531263
109,anzio,41.4853,12.6179,9.06,77,99,4.16,IT,1674531264
110,sarkand,45.41,79.9186,-10.03,78,98,0.71,KZ,1674531264
111,riyadh,24.6877,46.7219,12.08,71,72,3.43,SA,1674531135
112,kimparana,12.8347,-4.9244,24.77,21,13,1.13,ML,1674531265
113,kapaa,22.0752,-159.319,26.99,81,20,2.57,US,1674531265
114,tuktoyaktuk,69.4541,-133.0374,-28.0,76,40,4.63,CA,1674531265
115,kirakira,-10.4544,161.9205,25.25,94,100,2.86,SB,1674531265
116,upernavik,72.7868,-56.1549,-22.64,98,100,3.46,GL,1674531266
117,fortuna,40.5982,-124.1573,7.51,90,0,0.0,US,1674531266
118,hervey bay,-25.2986,152.8535,26.19,66,4,3.94,AU,1674531266
119,iquitos,-3.7481,-73.2472,23.02,94,100,3.09,PE,1674531267
120,opuwo,-18.0607,13.84,18.51,77,100,1.66,NA,1674531267
121,san juan,-31.5375,-68.5364,30.93,24,14,8.09,AR,1674531268
122,kavieng,-2.5744,150.7967,29.58,69,87,4.99,PG,1674531268
123,alta floresta,-9.8756,-56.0861,21.32,98,99,0.97,BR,1674531268
124,ordu,40.9086,37.6845,2.28,93,98,0.8,TR,1674531269
125,ishigaki,24.3448,124.1572,15.07,77,75,9.77,JP,1674531269
126,miandrivazo,-19.5167,45.4667,24.0,88,100,3.11,MG,1674531269
127,nikolskoye,59.7035,30.7861,-4.06,92,100,4.3,RU,1674531270
